"","Fecha","1","3","6","12"
"V1",2003-01-02,,,,
"V2",2003-01-03,,,,
"V3",2003-01-06,,,,
"V4",2003-01-07,,,,
"V5",2003-01-08,,,,
"V6",2003-01-09,,,,
"V7",2003-01-10,,,,
"V8",2003-01-13,,,,
"V9",2003-01-14,,,,
"V10",2003-01-15,,,,
"V11",2003-01-16,,,,
"V12",2003-01-17,,,,
"V13",2003-01-20,,,,
"V14",2003-01-21,,,,
"V15",2003-01-22,,,,
"V16",2003-01-23,,,,
"V17",2003-01-24,,,,
"V18",2003-01-27,,,,
"V19",2003-01-28,,,,
"V20",2003-01-29,,,,
"V21",2003-01-30,,,,
"V22",2003-01-31,,,,
"V23",2003-02-03,,,,
"V24",2003-02-04,,,,
"V25",2003-02-05,,,,
"V26",2003-02-06,,,,
"V27",2003-02-07,,,,
"V28",2003-02-10,,,,
"V29",2003-02-11,,,,
"V30",2003-02-12,,,,
"V31",2003-02-13,,,,
"V32",2003-02-14,,,,
"V33",2003-02-17,,,,
"V34",2003-02-18,,,,
"V35",2003-02-19,,,,
"V36",2003-02-20,,,,
"V37",2003-02-21,,,,
"V38",2003-02-24,,,,
"V39",2003-02-25,,,,
"V40",2003-02-26,,,,
"V41",2003-02-27,,,,
"V42",2003-02-28,,,,
"V43",2003-03-03,,,,
"V44",2003-03-04,,,,
"V45",2003-03-05,,,,
"V46",2003-03-06,,,,
"V47",2003-03-07,,,,
"V48",2003-03-10,,,,
"V49",2003-03-11,,,,
"V50",2003-03-12,,,,
"V51",2003-03-13,,,,
"V52",2003-03-14,,,,
"V53",2003-03-17,,,,
"V54",2003-03-18,,,,
"V55",2003-03-19,,,,
"V56",2003-03-20,,,,
"V57",2003-03-21,,,,
"V58",2003-03-24,,,,
"V59",2003-03-25,,,,
"V60",2003-03-26,,,,
"V61",2003-03-27,,,,
"V62",2003-03-28,,,,
"V63",2003-04-01,,,,
"V64",2003-04-02,,,,
"V65",2003-04-03,,,,
"V66",2003-04-04,,,,
"V67",2003-04-07,,,,
"V68",2003-04-08,,,,
"V69",2003-04-09,,,,
"V70",2003-04-10,,,,
"V71",2003-04-11,,,,
"V72",2003-04-14,,,,
"V73",2003-04-15,,,,
"V74",2003-04-16,,,,
"V75",2003-04-21,,,,
"V76",2003-04-22,,,,
"V77",2003-04-23,,,,
"V78",2003-04-24,,,,
"V79",2003-04-25,,,,
"V80",2003-04-28,,,,
"V81",2003-04-29,,,,
"V82",2003-04-30,,,,
"V83",2003-05-02,,,,
"V84",2003-05-05,,,,
"V85",2003-05-06,,,,
"V86",2003-05-07,,,,
"V87",2003-05-08,,,,
"V88",2003-05-09,,,,
"V89",2003-05-12,,,,
"V90",2003-05-13,,,,
"V91",2003-05-14,,,,
"V92",2003-05-15,,,,
"V93",2003-05-16,,,,
"V94",2003-05-19,,,,
"V95",2003-05-20,,,,
"V96",2003-05-21,,,,
"V97",2003-05-22,,,,
"V98",2003-05-23,,,,
"V99",2003-05-26,,,,
"V100",2003-05-27,,,,
"V101",2003-05-28,,,,
"V102",2003-05-29,,,,
"V103",2003-05-30,,,,
"V104",2003-06-02,,,,
"V105",2003-06-03,,,,
"V106",2003-06-04,,,,
"V107",2003-06-05,,,,
"V108",2003-06-06,,,,
"V109",2003-06-09,,,,
"V110",2003-06-10,,,,
"V111",2003-06-11,,,,
"V112",2003-06-12,,,,
"V113",2003-06-13,,,,
"V114",2003-06-17,,,,
"V115",2003-06-18,,,,
"V116",2003-06-19,,,,
"V117",2003-06-20,,,,
"V118",2003-06-23,,,,
"V119",2003-06-24,,,,
"V120",2003-06-25,,,,
"V121",2003-06-26,,,,
"V122",2003-06-27,,,,
"V123",2003-06-30,,,,
"V124",2003-07-01,,,,
"V125",2003-07-02,,,,
"V126",2003-07-03,,,,
"V127",2003-07-04,,,,
"V128",2003-07-07,,,,
"V129",2003-07-08,,,,
"V130",2003-07-10,,,,
"V131",2003-07-11,,,,
"V132",2003-07-14,,,,
"V133",2003-07-15,,,,
"V134",2003-07-16,,,,
"V135",2003-07-17,,,,
"V136",2003-07-18,,,,
"V137",2003-07-21,,,,
"V138",2003-07-22,,,,
"V139",2003-07-23,,,,
"V140",2003-07-24,,,,
"V141",2003-07-25,,,,
"V142",2003-07-28,,,,
"V143",2003-07-29,,,,
"V144",2003-07-30,,,,
"V145",2003-07-31,,,,
"V146",2003-08-01,,,,
"V147",2003-08-04,,,,
"V148",2003-08-05,,,,
"V149",2003-08-06,,,,
"V150",2003-08-07,,,,
"V151",2003-08-08,,,,
"V152",2003-08-11,,,,
"V153",2003-08-12,,,,
"V154",2003-08-13,,,,
"V155",2003-08-14,,,,
"V156",2003-08-15,,,,
"V157",2003-08-19,,,,
"V158",2003-08-20,,,,
"V159",2003-08-21,,,,
"V160",2003-08-22,,,,
"V161",2003-08-25,,,,
"V162",2003-08-26,,,,
"V163",2003-08-27,,,,
"V164",2003-08-28,,,,
"V165",2003-08-29,,,,
"V166",2003-09-01,,,,
"V167",2003-09-02,,,,
"V168",2003-09-03,,,,
"V169",2003-09-04,,,,
"V170",2003-09-05,,,,
"V171",2003-09-08,,,,
"V172",2003-09-09,,,,
"V173",2003-09-10,,,,
"V174",2003-09-11,,,,
"V175",2003-09-12,,,,
"V176",2003-09-15,,,,
"V177",2003-09-16,,,,
"V178",2003-09-17,,,,
"V179",2003-09-18,,,,
"V180",2003-09-19,,,,
"V181",2003-09-22,,,,
"V182",2003-09-23,,,,
"V183",2003-09-24,,,,
"V184",2003-09-25,,,,
"V185",2003-09-26,,,,
"V186",2003-09-29,,,,
"V187",2003-09-30,,,,
"V188",2003-10-01,,,,
"V189",2003-10-02,,,,
"V190",2003-10-03,,,,
"V191",2003-10-06,,,,
"V192",2003-10-07,,,,
"V193",2003-10-08,,,,
"V194",2003-10-09,,,,
"V195",2003-10-10,,,,
"V196",2003-10-14,,,,
"V197",2003-10-15,,,,
"V198",2003-10-16,,,,
"V199",2003-10-17,,,,
"V200",2003-10-20,,,,
"V201",2003-10-21,,,,
"V202",2003-10-22,,,,
"V203",2003-10-23,,,,
"V204",2003-10-24,,,,
"V205",2003-10-27,,,,
"V206",2003-10-28,,,,
"V207",2003-10-29,,,,
"V208",2003-10-30,,,,
"V209",2003-10-31,,,,
"V210",2003-11-03,,,,
"V211",2003-11-04,,,,
"V212",2003-11-05,,,,
"V213",2003-11-07,,,,
"V214",2003-11-10,,,,
"V215",2003-11-11,,,,
"V216",2003-11-12,,,,
"V217",2003-11-13,,,,
"V218",2003-11-14,,,,
"V219",2003-11-17,,,,
"V220",2003-11-18,,,,
"V221",2003-11-19,,,,
"V222",2003-11-20,,,,
"V223",2003-11-21,,,,
"V224",2003-11-24,,,,
"V225",2003-11-25,,,,
"V226",2003-11-26,,,,
"V227",2003-11-27,,,,
"V228",2003-11-28,,,,
"V229",2003-12-01,,,,
"V230",2003-12-02,,,,
"V231",2003-12-03,,,,
"V232",2003-12-04,,,,
"V233",2003-12-05,,,,
"V234",2003-12-09,,,,
"V235",2003-12-10,,,,
"V236",2003-12-11,,,,
"V237",2003-12-12,,,,
"V238",2003-12-15,,,,
"V239",2003-12-16,,,,
"V240",2003-12-17,,,,
"V241",2003-12-18,,,,
"V242",2003-12-19,,,,
"V243",2003-12-22,,,,
"V244",2003-12-23,,,,
"V245",2003-12-24,,,,
"V246",2003-12-26,,,,
"V247",2003-12-29,,,,
"V248",2003-12-30,,,,
"V249",2003-12-31,,,,
"V250",2004-01-02,,,,
"V251",2004-01-05,,,,
"V252",2004-01-06,,,,
"V253",2004-01-07,,,,
"V254",2004-01-08,,,,
"V255",2004-01-09,,,,
"V256",2004-01-12,,,,
"V257",2004-01-13,,,,
"V258",2004-01-14,,,,
"V259",2004-01-15,,,,
"V260",2004-01-16,,,,
"V261",2004-01-19,,,,
"V262",2004-01-20,,,,
"V263",2004-01-21,,,,
"V264",2004-01-22,,,,
"V265",2004-01-23,,,,
"V266",2004-01-26,,,,
"V267",2004-01-27,,,,
"V268",2004-01-28,,,,
"V269",2004-01-29,,,,
"V270",2004-01-30,,,,
"V271",2004-02-02,,,,
"V272",2004-02-03,,,,
"V273",2004-02-04,,,,
"V274",2004-02-05,,,,
"V275",2004-02-06,,,,
"V276",2004-02-09,,,,
"V277",2004-02-10,,,,
"V278",2004-02-11,,,,
"V279",2004-02-12,,,,
"V280",2004-02-13,,,,
"V281",2004-02-16,,,,
"V282",2004-02-17,,,,
"V283",2004-02-18,,,,
"V284",2004-02-19,,,,
"V285",2004-02-20,,,,
"V286",2004-02-23,,,,
"V287",2004-02-24,,,,
"V288",2004-02-25,,,,
"V289",2004-02-26,,,,
"V290",2004-02-27,,,,
"V291",2004-03-01,,,,
"V292",2004-03-02,,,,
"V293",2004-03-03,,,,
"V294",2004-03-04,,,,
"V295",2004-03-05,,,,
"V296",2004-03-08,,,,
"V297",2004-03-09,,,,
"V298",2004-03-10,,,,
"V299",2004-03-11,,,,
"V300",2004-03-12,,,,
"V301",2004-03-15,,,,
"V302",2004-03-16,,,,
"V303",2004-03-17,,,,
"V304",2004-03-18,,,,
"V305",2004-03-19,,,,
"V306",2004-03-22,,,,
"V307",2004-03-23,,,,
"V308",2004-03-24,,,,
"V309",2004-03-25,,,,
"V310",2004-03-26,,,,
"V311",2004-03-29,,,,
"V312",2004-03-30,,,,
"V313",2004-03-31,,,,
"V314",2004-04-01,,,,
"V315",2004-04-02,,,,
"V316",2004-04-06,,,,
"V317",2004-04-07,,,,
"V318",2004-04-12,,,,
"V319",2004-04-13,,,,
"V320",2004-04-14,,,,
"V321",2004-04-15,,,,
"V322",2004-04-16,,,,
"V323",2004-04-19,,,,
"V324",2004-04-20,,,,
"V325",2004-04-21,,,,
"V326",2004-04-22,,,,
"V327",2004-04-23,,,,
"V328",2004-04-26,,,,
"V329",2004-04-27,,,,
"V330",2004-04-28,,,,
"V331",2004-04-29,,,,
"V332",2004-04-30,,,,
"V333",2004-05-03,,,,
"V334",2004-05-04,,,,
"V335",2004-05-05,,,,
"V336",2004-05-06,,,,
"V337",2004-05-07,,,,
"V338",2004-05-10,,,,
"V339",2004-05-11,,,,
"V340",2004-05-12,,,,
"V341",2004-05-13,,,,
"V342",2004-05-14,,,,
"V343",2004-05-17,,,,
"V344",2004-05-18,,,,
"V345",2004-05-19,,,,
"V346",2004-05-20,,,,
"V347",2004-05-21,,,,
"V348",2004-05-24,,,,
"V349",2004-05-26,,,,
"V350",2004-05-27,,,,
"V351",2004-05-28,,,,
"V352",2004-05-31,,,,
"V353",2004-06-01,,,,
"V354",2004-06-02,,,,
"V355",2004-06-03,,,,
"V356",2004-06-04,,,,
"V357",2004-06-07,,,,
"V358",2004-06-08,,,,
"V359",2004-06-09,,,,
"V360",2004-06-10,,,,
"V361",2004-06-11,,,,
"V362",2004-06-14,,,,
"V363",2004-06-15,,,,
"V364",2004-06-16,,,,
"V365",2004-06-17,,,,
"V366",2004-06-18,,,,
"V367",2004-06-22,,,,
"V368",2004-06-23,,,,
"V369",2004-06-24,,,,
"V370",2004-06-25,,,,
"V371",2004-06-28,,,,
"V372",2004-06-29,,,,
"V373",2004-06-30,,,,
"V374",2004-07-01,,,,
"V375",2004-07-02,,,,
"V376",2004-07-05,,,,
"V377",2004-07-06,,,,
"V378",2004-07-07,,,,
"V379",2004-07-08,,,,
"V380",2004-07-12,,,,
"V381",2004-07-13,,,,
"V382",2004-07-14,,,,
"V383",2004-07-15,,,,
"V384",2004-07-16,,,,
"V385",2004-07-19,,,,
"V386",2004-07-20,,,,
"V387",2004-07-21,,,,
"V388",2004-07-22,,,,
"V389",2004-07-23,,,,
"V390",2004-07-26,,,,
"V391",2004-07-27,,,,
"V392",2004-07-28,,,,
"V393",2004-07-29,,,,
"V394",2004-07-30,,,,
"V395",2004-08-02,,,,
"V396",2004-08-03,,,,
"V397",2004-08-04,,,,
"V398",2004-08-05,,,,
"V399",2004-08-06,,,,
"V400",2004-08-09,,,,
"V401",2004-08-10,,,,
"V402",2004-08-11,,,,
"V403",2004-08-12,,,,
"V404",2004-08-13,,,,
"V405",2004-08-17,,,,
"V406",2004-08-18,,,,
"V407",2004-08-19,,,,
"V408",2004-08-20,,,,
"V409",2004-08-23,,,,
"V410",2004-08-24,,,,
"V411",2004-08-25,,,,
"V412",2004-08-26,,,,
"V413",2004-08-27,,,,
"V414",2004-08-30,,,,
"V415",2004-08-31,,,,
"V416",2004-09-01,,,,
"V417",2004-09-02,,,,
"V418",2004-09-03,,,,
