"","Fecha","1","3","6","12"
"V1",2003-01-02,NA,NA,NA,NA
"V2",2003-01-03,NA,NA,NA,NA
"V3",2003-01-06,NA,NA,NA,NA
"V4",2003-01-07,NA,NA,NA,NA
"V5",2003-01-08,NA,NA,NA,NA
"V6",2003-01-09,NA,NA,NA,NA
"V7",2003-01-10,NA,NA,NA,NA
"V8",2003-01-13,NA,NA,NA,NA
"V9",2003-01-14,NA,NA,NA,NA
"V10",2003-01-15,NA,NA,NA,NA
"V11",2003-01-16,NA,NA,NA,NA
"V12",2003-01-17,NA,NA,NA,NA
"V13",2003-01-20,NA,NA,NA,NA
"V14",2003-01-21,NA,NA,NA,NA
"V15",2003-01-22,NA,NA,NA,NA
"V16",2003-01-23,NA,NA,NA,NA
"V17",2003-01-24,NA,NA,NA,NA
"V18",2003-01-27,NA,NA,NA,NA
"V19",2003-01-28,NA,NA,NA,NA
"V20",2003-01-29,NA,NA,NA,NA
"V21",2003-01-30,NA,NA,NA,NA
"V22",2003-01-31,NA,NA,NA,NA
"V23",2003-02-03,NA,NA,NA,NA
"V24",2003-02-04,NA,NA,NA,NA
"V25",2003-02-05,NA,NA,NA,NA
"V26",2003-02-06,NA,NA,NA,NA
"V27",2003-02-07,NA,NA,NA,NA
"V28",2003-02-10,NA,NA,NA,NA
"V29",2003-02-11,NA,NA,NA,NA
"V30",2003-02-12,NA,NA,NA,NA
"V31",2003-02-13,NA,NA,NA,NA
"V32",2003-02-14,NA,NA,NA,NA
"V33",2003-02-17,NA,NA,NA,NA
"V34",2003-02-18,NA,NA,NA,NA
"V35",2003-02-19,NA,NA,NA,NA
"V36",2003-02-20,NA,NA,NA,NA
"V37",2003-02-21,NA,NA,NA,NA
"V38",2003-02-24,NA,NA,NA,NA
"V39",2003-02-25,NA,NA,NA,NA
"V40",2003-02-26,NA,NA,NA,NA
"V41",2003-02-27,NA,NA,NA,NA
"V42",2003-02-28,NA,NA,NA,NA
"V43",2003-03-03,NA,NA,NA,NA
"V44",2003-03-04,NA,NA,NA,NA
"V45",2003-03-05,NA,NA,NA,NA
"V46",2003-03-06,NA,NA,NA,NA
"V47",2003-03-07,NA,NA,NA,NA
"V48",2003-03-10,NA,NA,NA,NA
"V49",2003-03-11,NA,NA,NA,NA
"V50",2003-03-12,NA,NA,NA,NA
"V51",2003-03-13,NA,NA,NA,NA
"V52",2003-03-14,NA,NA,NA,NA
"V53",2003-03-17,NA,NA,NA,NA
"V54",2003-03-18,NA,NA,NA,NA
"V55",2003-03-19,NA,NA,NA,NA
"V56",2003-03-20,NA,NA,NA,NA
"V57",2003-03-21,NA,NA,NA,NA
"V58",2003-03-24,NA,NA,NA,NA
"V59",2003-03-25,NA,NA,NA,NA
"V60",2003-03-26,NA,NA,NA,NA
"V61",2003-03-27,NA,NA,NA,NA
"V62",2003-03-28,NA,NA,NA,NA
"V63",2003-04-01,NA,NA,NA,NA
"V64",2003-04-02,NA,NA,NA,NA
"V65",2003-04-03,NA,NA,NA,NA
"V66",2003-04-04,NA,NA,NA,NA
"V67",2003-04-07,NA,NA,NA,NA
"V68",2003-04-08,NA,NA,NA,NA
"V69",2003-04-09,NA,NA,NA,NA
"V70",2003-04-10,NA,NA,NA,NA
"V71",2003-04-11,NA,NA,NA,NA
"V72",2003-04-14,NA,NA,NA,NA
