Id,Fecha,Uva,Uvi,Reservas,BaseMonetaria,CirculacionMonetaria,BilletesPoderPublico,EfectivoEntidadesFinancieras,DeposBancosCtaCtePesos,LebacEfectivo,LebacColocacion,DeposEfectivoEntidadesFinancieras,EnCuentasCorrientes,EnCajaAhorros,APlazo,OtrosDepos,M2Privado,LebacTasa35Dias,PaseActivas,PasePasivas,PrestamosEntidadesFinancierasSectorPrivado,TasasBaibar,TasasDepos30Dias,Badlar,TipoCambioReferencia,Cer
1,2003-01-02,,,10501.0,29302.0,18901.0,16444.0,2457.0,10401.0,3444.0,,75553.0,16515.0,9515.0,21746.0,8946.0,,,,,34854.0,6.34,21.16,,3.3625,
2,2003-01-03,,,10505.0,29360.0,18907.0,16491.0,2416.0,10453.0,3595.0,3788.0,75728.0,16381.0,9456.0,22136.0,8935.0,,,,,34711.0,6.5,24.25,,3.3328,
3,2003-01-06,,,10564.0,29524.0,18937.0,16514.0,2423.0,10587.0,3587.0,3788.0,75994.0,16528.0,9403.0,22345.0,8906.0,,,,,34555.0,6.49,20.82,,3.329,
4,2003-01-07,,,10605.0,29867.0,18971.0,16554.0,2417.0,10896.0,3586.0,3788.0,76145.0,16373.0,9497.0,22672.0,8815.0,,,,,34346.0,6.56,20.74,,3.2888,
5,2003-01-08,,,10652.0,29957.0,18955.0,16597.0,2358.0,11002.0,3636.0,3858.0,76206.0,16144.0,9659.0,22778.0,8840.0,,,,,34305.0,6.49,18.57,,3.2935,
6,2003-01-09,,,10663.0,29988.0,19008.0,16615.0,2393.0,10980.0,3637.0,3858.0,76552.0,16401.0,9557.0,22907.0,8913.0,,,,,34255.0,6.02,18.21,,3.3143,
7,2003-01-10,,,10645.0,29680.0,19008.0,16618.0,2390.0,10672.0,3910.0,4183.0,76425.0,16339.0,9449.0,23000.0,8878.0,,,,,34326.0,6.01,18.96,,3.3533,
8,2003-01-13,,,10664.0,29778.0,18985.0,16540.0,2445.0,10793.0,3921.0,4183.0,77142.0,16928.0,9573.0,22973.0,8935.0,,,,,34316.0,5.93,17.57,,3.345,
9,2003-01-14,,,10693.0,29889.0,18896.0,16486.0,2410.0,10993.0,3919.0,4183.0,77206.0,16999.0,9526.0,23133.0,8807.0,,,,,34234.0,5.24,17.62,,3.3037,
10,2003-01-15,,,10730.0,29882.0,18788.0,16438.0,2350.0,11094.0,4034.0,4376.0,77243.0,17237.0,9284.0,23201.0,8815.0,,,,,34057.0,5.42,16.98,,3.2275,
11,2003-01-16,,,10746.0,29917.0,18748.0,16399.0,2349.0,11169.0,4012.0,4376.0,76876.0,17054.0,9243.0,23146.0,8775.0,,,,,33912.0,4.94,16.24,,3.2438,
12,2003-01-17,,,9751.0,29341.0,18722.0,16407.0,2315.0,10619.0,4152.0,4553.0,76583.0,16431.0,9420.0,23351.0,8727.0,,,,,33804.0,5.07,17.86,,3.244,
13,2003-01-20,,,9752.0,29392.0,18716.0,16362.0,2354.0,10676.0,4152.0,4553.0,76775.0,16863.0,9247.0,23277.0,8736.0,,,,,33727.0,4.86,16.96,,3.1933,
14,2003-01-21,,,9815.0,29594.0,18654.0,16353.0,2301.0,10940.0,4138.0,4553.0,77206.0,17017.0,9340.0,23463.0,8743.0,,,,,33597.0,5.24,16.73,,3.1328,
15,2003-01-22,,,9831.0,29573.0,18628.0,16363.0,2265.0,10945.0,4175.0,4615.0,77139.0,16851.0,9300.0,23578.0,8773.0,,,,,33409.0,5.87,18.07,,3.0633,
16,2003-01-23,,,8267.0,29611.0,18591.0,16317.0,2274.0,11020.0,4156.0,4615.0,77084.0,16679.0,9302.0,23789.0,8701.0,,,,,33549.0,5.54,16.1,,3.12,
17,2003-01-24,,,8245.0,29632.0,18532.0,16266.0,2266.0,11100.0,4216.0,4651.0,76984.0,16599.0,9205.0,23942.0,8634.0,,,,,33597.0,4.73,16.71,,3.1733,
18,2003-01-27,,,9262.0,29601.0,18479.0,16170.0,2309.0,11122.0,4231.0,4651.0,77341.0,16921.0,9238.0,23761.0,8825.0,,,,,33770.0,4.48,15.19,,3.2592,
19,2003-01-28,,,9264.0,29613.0,18389.0,16085.0,2304.0,11224.0,4255.0,4651.0,77708.0,17162.0,9246.0,23975.0,8760.0,,,,,33863.0,4.73,15.96,,3.3433,
20,2003-01-29,,,9330.0,29634.0,18398.0,16065.0,2333.0,11236.0,4267.0,4644.0,78180.0,17265.0,9256.0,24004.0,9108.0,,,,,33878.0,4.62,16.39,,3.335,
21,2003-01-30,,,9334.0,29646.0,18459.0,16075.0,2384.0,11187.0,4265.0,4644.0,78029.0,16990.0,9386.0,24111.0,9048.0,,,,,33804.0,4.57,16.98,,3.24,
22,2003-01-31,,,9326.0,29492.0,18584.0,16175.0,2409.0,10908.0,4313.0,4728.0,77718.0,16554.0,9646.0,24372.0,8671.0,,,,,33951.0,4.73,18.0,,3.1817,
23,2003-02-03,,,9308.0,29167.0,18605.0,16260.0,2345.0,10562.0,4297.0,4728.0,77550.0,16475.0,9685.0,24167.0,8782.0,,,,,33805.0,4.67,16.39,,3.1983,
24,2003-02-04,,,9290.0,29217.0,18688.0,16313.0,2375.0,10529.0,4302.0,4728.0,77550.0,16483.0,9666.0,24315.0,8692.0,,,,,33720.0,5.02,17.22,,3.1567,
25,2003-02-05,,,9306.0,29186.0,18731.0,16410.0,2321.0,10455.0,4353.0,4797.0,77303.0,16102.0,9706.0,24489.0,8657.0,,,,,33726.0,4.76,17.17,,3.1533,
26,2003-02-06,,,9320.0,29214.0,18810.0,16537.0,2273.0,10404.0,4352.0,4797.0,77497.0,16178.0,9699.0,24682.0,8649.0,,,,,33682.0,5.64,17.03,,3.1458,
27,2003-02-07,,,9210.0,29188.0,18951.0,16699.0,2252.0,10237.0,4419.0,4867.0,76854.0,15386.0,9659.0,24859.0,8735.0,,,,,33652.0,4.68,16.56,,3.1517,
28,2003-02-10,,,9232.0,28749.0,19070.0,16732.0,2338.0,9679.0,4421.0,4867.0,76433.0,15240.0,9470.0,24751.0,8775.0,,,,,33690.0,5.08,18.4,,3.1458,
29,2003-02-11,,,9256.0,28808.0,18983.0,16703.0,2280.0,9825.0,4419.0,4867.0,76095.0,14969.0,9412.0,24952.0,8641.0,,,,,33593.0,5.08,17.91,,3.1017,
30,2003-02-12,,,9236.0,28922.0,18882.0,16631.0,2251.0,10040.0,4375.0,4817.0,76263.0,15042.0,9331.0,25024.0,8812.0,,,,,33499.0,5.16,18.18,,3.0848,
31,2003-02-13,,,9291.0,28965.0,18872.0,16626.0,2246.0,10093.0,4370.0,4817.0,75823.0,14798.0,9197.0,25240.0,8635.0,,,,,33425.0,5.24,16.58,,3.1167,
32,2003-02-14,,,9440.0,29027.0,18873.0,16641.0,2232.0,10154.0,4452.0,4892.0,76283.0,15003.0,9254.0,25544.0,8635.0,,,,,33524.0,5.99,18.49,,3.1908,
33,2003-02-17,,,9439.0,29024.0,18882.0,16582.0,2300.0,10142.0,4474.0,4892.0,76405.0,15235.0,9118.0,25526.0,8719.0,,,,,33569.0,5.72,21.43,,3.1617,
34,2003-02-18,,,9434.0,29083.0,18843.0,16544.0,2299.0,10240.0,4465.0,4892.0,77431.0,15835.0,9077.0,25906.0,8870.0,,,,,33537.0,6.51,21.48,,3.1585,
35,2003-02-19,,,10194.0,29165.0,18812.0,16566.0,2246.0,10353.0,4466.0,4897.0,77959.0,16108.0,9011.0,26121.0,9000.0,,,,,33489.0,7.03,21.91,,3.1843,
36,2003-02-20,,,10209.0,29976.0,18791.0,16594.0,2197.0,11185.0,4474.0,4897.0,78272.0,16233.0,9194.0,26225.0,8953.0,,,,,33427.0,7.67,24.26,,3.2317,
